Date,Adj Close
7/25/20,0.003234
7/26/20,0.003235
7/27/20,0.003153
7/28/20,0.003197
7/29/20,0.003192
7/30/20,0.003231
7/31/20,0.003225
8/1/20,0.003689
8/2/20,0.003336
8/3/20,0.003389
8/4/20,0.003535
8/5/20,0.003513
8/6/20,0.00356
8/7/20,0.003533
8/8/20,0.00351
8/9/20,0.003463
8/10/20,0.003499
8/11/20,0.003394
8/12/20,0.003484
8/13/20,0.003517
8/14/20,0.003561
8/15/20,0.003539
8/16/20,0.003524
8/17/20,0.003591
8/18/20,0.003514
8/19/20,0.003424
8/20/20,0.003459
8/21/20,0.003393
8/22/20,0.003442
8/23/20,0.003414
8/24/20,0.003418
8/25/20,0.003305
8/26/20,0.003303
8/27/20,0.003203
8/28/20,0.003268
8/29/20,0.003282
8/30/20,0.0033
8/31/20,0.003221
9/1/20,0.003256
9/2/20,0.003122
9/3/20,0.002802
9/4/20,0.002899
9/5/20,0.002758
9/6/20,0.002787
9/7/20,0.002811
9/8/20,0.002756
9/9/20,0.002779
9/10/20,0.002805
9/11/20,0.002806
9/12/20,0.002819
9/13/20,0.002776
9/14/20,0.002803
9/15/20,0.002832
9/16/20,0.002826
9/17/20,0.002814
9/18/20,0.002804
9/19/20,0.002794
9/20/20,0.002778
9/21/20,0.00263
9/22/20,0.002656
9/23/20,0.002564
9/24/20,0.002644
9/25/20,0.002706
9/26/20,0.002708
9/27/20,0.002701
9/28/20,0.002658
9/29/20,0.002681
9/30/20,0.002642
10/1/20,0.002615
10/2/20,0.002584
10/3/20,0.002605
10/4/20,0.002646
10/5/20,0.002627
10/6/20,0.00261
10/7/20,0.0026
10/8/20,0.002603
10/9/20,null
10/10/20,0.002655
10/11/20,0.002674
10/12/20,null
10/13/20,null
10/14/20,0.002637
10/15/20,0.002593
10/16/20,0.002612
10/17/20,0.002581
10/18/20,0.002586
10/19/20,0.00259
10/20/20,0.002601
10/21/20,0.00263
10/22/20,0.002655
10/23/20,0.002647
10/24/20,0.002646
10/25/20,0.002653
10/26/20,0.002679
10/27/20,0.002677
10/28/20,0.002595
10/29/20,0.002581
10/30/20,0.002598
10/31/20,0.002576
11/1/20,0.002582
11/2/20,0.002517
11/3/20,0.002528
11/4/20,0.002533
11/5/20,0.002617
11/6/20,0.00276
11/7/20,0.002671
11/8/20,0.002711
11/9/20,0.00267
11/10/20,0.002753
11/11/20,0.002769
11/12/20,0.002779
11/13/20,0.002821
11/14/20,0.002773
11/15/20,0.002775
11/16/20,0.002886
11/17/20,0.002936
11/18/20,0.002909
11/19/20,0.002911
11/20/20,0.002984
11/21/20,0.003507
11/22/20,0.003329
11/23/20,0.003648
11/24/20,0.004204
11/25/20,0.003727
11/26/20,0.00325
11/27/20,0.003275
11/28/20,0.003405
11/29/20,0.003448
11/30/20,0.003551
12/1/20,0.003335
12/2/20,0.003374
12/3/20,0.003428
12/4/20,0.003298
12/5/20,0.003397
12/6/20,0.003388
12/7/20,0.003342
12/8/20,0.003179
12/9/20,0.003158
12/10/20,0.003105
12/11/20,0.003079
12/12/20,0.003163
12/13/20,0.003256
12/14/20,0.003231
12/15/20,0.003206
12/16/20,0.003416
12/17/20,0.00373
12/18/20,0.003858
12/19/20,0.003927
12/20/20,0.004625
12/21/20,0.004787
12/22/20,0.004508
12/23/20,0.003768
12/24/20,0.00457
12/25/20,0.004582
12/26/20,0.004494
12/27/20,0.004548
12/28/20,0.004592
12/29/20,0.004486
12/30/20,0.004636
12/31/20,0.004682
1/1/21,0.005685
1/2/21,0.010615
1/3/21,0.009771
1/4/21,0.009767
1/5/21,0.00992
1/6/21,0.010465
1/7/21,0.009742
1/8/21,0.009846
1/9/21,0.010194
1/10/21,0.00986
1/11/21,0.008835
1/12/21,0.008063
1/13/21,0.008616
1/14/21,0.009397
1/15/21,0.009369
1/16/21,0.009265
1/17/21,0.009067
1/18/21,0.009171
1/19/21,0.009098
1/20/21,0.00906
1/21/21,0.008166
1/22/21,0.008524
1/23/21,0.008579
1/24/21,0.008727
1/25/21,0.008383
1/26/21,0.008255
1/27/21,0.007482
1/28/21,0.012555
1/29/21,0.047162
1/30/21,0.028176
1/31/21,0.037196
2/1/21,0.034875
2/2/21,0.03152
2/3/21,0.03712
2/4/21,0.053289
2/5/21,0.046935
2/6/21,0.057595
2/7/21,0.078782
2/8/21,0.078825
2/9/21,0.07007
2/10/21,0.072896
2/11/21,0.069676
2/12/21,0.070069
2/13/21,0.06645
2/14/21,0.062537
2/15/21,0.056591
2/16/21,0.05352
2/17/21,0.049376
2/18/21,0.059541
2/19/21,0.055139
2/20/21,0.054384
2/21/21,0.05598
2/22/21,0.053725
2/23/21,0.047392
2/24/21,0.056555
2/25/21,0.050167
2/26/21,0.05048
2/27/21,0.050083
2/28/21,0.048052
3/1/21,0.050599
3/2/21,0.050262
3/3/21,0.050592
3/4/21,0.050048
3/5/21,0.049609
3/6/21,0.050984
3/7/21,0.052122
3/8/21,0.061949
3/9/21,0.057998
3/10/21,0.056004
3/11/21,0.055918
3/12/21,0.055349
3/13/21,0.062432
3/14/21,0.058592
3/15/21,0.057088
3/16/21,0.058607
3/17/21,0.057653
3/18/21,0.057383
3/19/21,0.058328
3/20/21,0.058961
3/21/21,0.057234
3/22/21,0.054962
3/23/21,0.053556
3/24/21,0.051702
3/25/21,0.051448
3/26/21,0.053952
3/27/21,0.054377
3/28/21,0.053698
3/29/21,0.054052
3/30/21,0.0539
3/31/21,0.053657
4/1/21,0.061986
4/2/21,0.057664
4/3/21,0.055804
4/4/21,0.057404
4/5/21,0.059696
4/6/21,0.064458
4/7/21,0.059028
4/8/21,0.061464
4/9/21,0.061684
4/10/21,0.063845
4/11/21,0.074649
4/12/21,0.070767
4/13/21,0.093445
4/14/21,0.121517
4/15/21,0.182207
4/16/21,0.36587
4/17/21,0.284173
4/18/21,0.320475
4/19/21,0.407318
4/20/21,0.3195
4/21/21,0.306925
4/22/21,0.260967
4/23/21,0.248509
4/24/21,0.270212
4/25/21,0.251111
4/26/21,0.270674
4/27/21,0.272188
4/28/21,0.323682
4/29/21,0.305169
4/30/21,0.337561
5/1/21,0.392987
5/2/21,0.376046
